code,name,close,ma25,deviation,ret20,amount,mcap,status,volClass,atr
600111,北方稀土,40.91,40.89,0.0005,0.045,2281942393.0,147892000000.0,A,mid,1.307
688235,百济神州,279.75,279.9,-0.0005,0.078,1109267876.0,431454000000.0,A,high,12.771
688126,沪硅产业,25.22,25.24,-0.0007,0.1135,1571898459.0,83353000000.0,A,high,1.379
605376,博迁新材,153.64,153.8,-0.001,0.1541,1474392286.0,40192000000.0,A,high,11.554
300059,东方财富,19.62,19.6,0.0011,-0.0185,6299156509.0,310432000000.0,A,low,0.376
688257,新锐股份,57.1,57.17,-0.0011,0.1948,1039670124.0,20286000000.0,A,high,4.119
603127,昭衍新药,48.14,48.08,0.0012,0.202,1276969316.0,36074000000.0,A,high,3.384
002594,比亚迪,91.49,91.34,0.0016,-0.0454,1619597741.0,834132000000.0,A,low,1.609
002273,水晶光电,26.81,26.77,0.0016,0.0859,961736612.0,37283000000.0,A,high,1.453
300975,商络电子,25.91,25.86,0.002,0.146,923772543.0,17800000000.0,A,high,1.589
000100,TCL科技,4.97,4.96,0.0023,0.053,1863474126.0,103380000000.0,A,mid,0.151
002600,领益智造,12.5,12.47,0.0028,0.0238,1140698850.0,101504000000.0,A,mid,0.384
