code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
600460,士兰微,32.35,32.38,37.43,2026-09-01,-0.0008,0.1109,35.9,538.0,C,high,2.091,53833000000.00001
300142,沃森生物,13.62,13.49,16.97,2026-09-01,0.0099,0.1037,14.6,218.0,C,high,1.054,21783000000.0
300806,斯迪克,47.36,47.35,54.7,2026-09-01,0.0002,0.1309,13.3,300.0,A,high,3.524,30014000000.0
002600,领益智造,12.52,12.52,13.09,2026-09-01,0.0003,-0.0111,10.4,1017.0,A,mid,0.408,101666000000.0
000063,中兴通讯,34.28,34.26,36.2,2026-09-01,0.0006,-0.0026,31.7,1640.0,A,mid,0.821,163980000000.0
600809,山西汾酒,120.67,120.75,128.63,2026-09-01,-0.0007,-0.0097,12.2,1472.0,A,mid,3.632,147213000000.0
601138,工业富联,62.94,62.99,70.97,2026-09-01,-0.0008,0.0502,47.4,12490.0,A,high,2.593,1248987000000.0
688766,普冉股份,398.5,398.89,489.28,2026-09-01,-0.001,0.1869,24.7,593.0,A,high,37.021,59258000000.00001
688981,中芯国际,126.11,126.29,137.48,2026-09-01,-0.0014,0.0414,29.9,10796.0,A,mid,5.121,1079646999999.9999
600961,株冶集团,26.96,27.0,30.8,2026-09-01,-0.0014,0.1081,8.5,289.0,A,high,1.601,28925000000.0
300339,润和软件,37.08,37.13,40.96,2026-09-01,-0.0015,-0.0411,13.0,295.0,A,mid,1.639,29531000000.0
600392,盛和资源,22.75,22.71,25.5,2026-09-01,0.0018,0.0611,8.9,399.0,A,mid,0.976,39877000000.0
600141,兴发集团,31.02,30.96,34.59,2026-09-01,0.0019,0.0221,9.4,373.0,A,mid,1.344,37278000000.0
300390,天华新能,61.76,61.63,70.8,2026-09-01,0.002,0.0943,17.9,513.0,A,high,3.864,51307000000.00001
