base_date,next_day,pick_n,buy_n,sl_n,tg_n,win_n,buy_rate,sl_rate,tg_rate,win_rate,avg_ret
2026-08-12,2026-08-13,1,1,1,0,0,1.0,1.0,0.0,0.0,-0.0465
2026-08-13,2026-08-14,1,1,1,0,0,1.0,1.0,0.0,0.0,-0.0183
2026-08-14,2026-08-17,5,5,4,0,0,1.0,0.8,0.0,0.0,-0.0167
2026-08-25,2026-08-26,4,4,1,0,3,1.0,0.25,0.0,0.75,0.0158
2026-08-26,2026-08-27,4,4,1,1,3,1.0,0.25,0.25,0.75,0.0329
2026-08-27,2026-08-28,4,4,2,2,3,1.0,0.5,0.5,0.75,0.0092
2026-08-28,2026-08-31,1,1,0,1,1,1.0,0.0,1.0,1.0,0.1159
2026-08-31,2026-09-01,3,3,0,0,0,1.0,0.0,0.0,0.0,-0.0164
2026-09-01,2026-09-02,2,2,2,0,0,1.0,1.0,0.0,0.0,-0.0234
2026-09-04,2026-09-07,3,3,1,1,2,1.0,0.333,0.333,0.667,0.044
2026-09-07,2026-09-08,3,3,2,1,1,1.0,0.667,0.333,0.333,-0.0016
2026-09-08,2026-09-09,3,3,2,1,1,1.0,0.667,0.333,0.333,-0.0027
